Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
"Pregna-4,17(20)-diene-3,16-dione CTD 00001094",Pregna,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
Glycitein CTD 00003084,Glycitein CTD 00003084,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,TNFAIP6;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
linolenic acid CTD 00007213,linolenic acid CTD 00007213,0.0421653711702731,0.0170631829128301,43.42366746060685,2/40,HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
ETHYLENE GLYCOL BOSS,ETHYLENE GLYCOL BOSS,0.0108218321171346,0.0027459134764505,43.41611965307657,4/116,FN1;HMOX1;HBB;EREG,Fallback_DSigDB,Combined signature vs DSigDB
torcetrapib 159325 human GSE15918 sample 3172,torcetrapib 159325 human GSE15918 sample 3172,0.0071293314748111,0.0014895712279828,43.321990219806594,5/413,EGR1;RGS2;ARL5B;HIST1H1D;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
Bisphenol A 6623 mouse GSE4650 sample 3573,Bisphenol A 6623 mouse GSE4650 sample 3573,0.0203826230711493,0.0064124949443561,43.31872344218388,3/185,EGR1;PTGS2;NEAT1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
pertuzumab DB06366 human GSE31432 sample 3124,pertuzumab DB06366 human GSE31432 sample 3124,0.0114185246276123,0.0029108985253045,43.26983000964279,4/291,EGR1;BAG3;TIMP1;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
TOSYLPHENYLALANYL CHLOROMETHYL KETONE CTD 00006910,TOSYLPHENYLALANYL CHLOROMETHYL KETONE CTD 00006910,0.0199813382555562,0.0063121368856795,43.1419208970586,3/75,HMOX1;MMP9;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
Vitamin D3 DB00136 human GSE5145 sample 3170,Vitamin D3 DB00136 human GSE5145 sample 3170,0.0115008163060544,0.0029469897236276,43.026406819220256,4/292,ARL5B;TNFAIP6;GEM;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
pioglitazone 4829 mouse GSE1458 sample 2587,pioglitazone 4829 mouse GSE1458 sample 2587,0.019246473881713,0.0014462668234813,42.9797988833324,5/282,SPARC;CTSL;FN1;LPL;DCN,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
