gene,mean_abs_shap,mean_shap,direction,rank
SESN3,0.008626764314098534,0.00027247081894580724,UP,327
SLC38A1,0.008606890112372418,-0.0015150736602106407,DOWN,328
SSR4,0.008509479770966397,-0.0003469366988968472,DOWN,329
VAV3,0.008471384835652365,0.0005238324814742844,UP,330
TMED8,0.008444342436305829,7.67281014100681e-05,UP,331
INPP4B,0.008389489019391823,0.0014643855684363099,UP,332
MKI67,0.008388982039356997,-6.347382980544396e-05,DOWN,333
IL1RL1,0.00838378739564692,-0.00024904316639020425,DOWN,334
IL16,0.008374894994935897,0.0010760045612466691,UP,335
ALPL,0.008359023095338994,0.0008223490948066826,UP,336
FAM160B1,0.008320666646484043,6.30572802297929e-05,UP,337
SLA2,0.008315927964743166,0.000465672632390593,UP,338
TRANK1,0.008311866734745921,-0.0002711758960097941,DOWN,339
HSPA6,0.008274367487099763,0.00013983334627209874,UP,340
HIST1H1B,0.008210663706012306,-0.0015152412129437155,DOWN,341
IL10,0.008204223771590835,-0.0005842942680390564,DOWN,342
MUC16,0.00820373680963681,0.0004177683419559898,UP,343
FAM129A,0.008113391309982843,0.0015509234918212726,UP,344
RBM38,0.008074591347124294,-0.0011913162367973567,DOWN,345
AC074289.1,0.008071828504081629,0.0006855352587959743,UP,346
FAM65B,0.008063742623938979,-0.0017528168429984947,DOWN,347
TSEN34,0.008053955968179656,0.001533274474489239,UP,348
SNAPC1,0.008006556234624417,-3.411393023336396e-05,DOWN,349
HEG1,0.008003661238965853,-0.0005532645304526235,DOWN,350
CXCL9,0.007992162115882006,-0.0005037510788781763,DOWN,351
CD69,0.007871782266696764,-0.0007409646495475674,DOWN,352
FAM46C,0.007797861191291584,0.00044390032366671913,UP,353
EPB41,0.007782312823078941,0.00043361375095589947,UP,354
GPRC5A,0.007754786910449469,0.0004842707611707459,UP,355
TMEM2,0.007723595777437961,-0.0005406268337440029,DOWN,356
SYNE1,0.007647102854235593,-0.0010415676609605484,DOWN,357
C5orf22,0.007633250630474643,-0.0011779723908004192,DOWN,358
TAGAP,0.007593036367084082,-0.00013800836971169112,DOWN,359
ITGB6,0.007473551741473622,0.0010908655736691362,UP,360
ENPP3,0.007411746721599983,-0.0009668719233932526,DOWN,361
RGS1,0.007356529306840688,0.0004899919756174613,UP,362
TMEM100,0.007354130286830313,0.0012920928072028966,UP,363
CD3D,0.007326514594275268,0.0009836839043308547,UP,364
BRD3,0.0073250465575853616,0.0005996542561108036,UP,365
TACSTD2,0.007293356741261153,0.0002596119427932511,UP,366
C5orf56,0.007275442288531041,-0.0007355093478231562,DOWN,367
RNF125,0.00726194809001218,-0.0004313276424839179,DOWN,368
SCYL3,0.007178372695278205,0.0009043875661917721,UP,369
IL32,0.00716170897607147,0.0001607256557891892,UP,370
CAMK4,0.007157345864990299,0.00028916759073879204,UP,371
SFXN1,0.0071556013249603825,8.491055503902352e-05,UP,372
NDNL2,0.007127033979771862,-0.00011248097658347494,DOWN,373
KLRG1,0.007110981111735072,0.001175391010973253,UP,374
GSN,0.007100960699439916,0.001274973333556376,UP,375
PTGDS,0.007093259821806081,0.0008572128206351364,UP,376
GPR84,0.007092584886814539,-0.0002945906884647274,DOWN,377
GADD45A,0.007080595387874282,0.00023966069042766975,UP,378
DHX57,0.006957870537776677,-7.935120815588931e-05,DOWN,379
SLC19A2,0.006916006113457146,0.0009894342167628535,UP,380
A2M,0.006843801994441824,0.002167665120120631,UP,381
LTBP4,0.0068117270528669635,-0.0019696952412515023,DOWN,382
CCL3,0.006750469387370926,0.0004980930500181884,UP,383
HIP1,0.006711457895754382,-8.328865685901268e-05,DOWN,384
VIPR1,0.0065836130542479,0.0009546194424711,UP,385
LAMA4,0.006541781216595788,-5.448889752867987e-05,DOWN,386
CD200,0.006477058824114867,-0.00018207901279438185,DOWN,387
PYGL,0.006458781980850875,-4.875487599934383e-05,DOWN,388
FAM118A,0.00642626626377576,2.0233214012648594e-06,UP,389
BATF,0.006403335415075032,0.0006162491842676077,UP,390
PDK4,0.0063921225642766125,-0.0005434615320500268,DOWN,391
ELMO2,0.0063893117514242205,-0.00031209557557068234,DOWN,392
GBP5,0.006311730530882519,0.0003761555725193565,UP,393
NEDD1,0.0063011688599263075,0.0014543338363789114,UP,394
MADD,0.006288004770910519,0.00010264080095416335,UP,395
GJA1,0.006242275557911502,-0.0011270451062290272,DOWN,396
ARG1,0.006241689074610736,-0.0009472085156875432,DOWN,397
CD28,0.006171040140524,-4.430658594442955e-05,DOWN,398
OFD1,0.006153560078391754,-0.00010863794396226561,DOWN,399
C9orf142,0.006126806903697762,0.001621266522541623,UP,400
CDA,0.006106755229098094,0.0008231463218359955,UP,401
IFIT3,0.006035306592300178,-0.0006267791836835643,DOWN,402
ANKRD26,0.006012143901177318,8.901227853428133e-05,UP,403
MCF2L2,0.006009043745059025,6.808318184451509e-05,UP,404
TSPYL2,0.005982451758871211,-0.00039043685132349155,DOWN,405
LUCAT1,0.00595065869290398,0.001043039749913044,UP,406
MX1,0.005924644245132889,0.00017327627733308284,UP,407
PTPN13,0.005894972174276825,0.0010826322940465723,UP,408
IPCEF1,0.005881717457671558,0.0008560033201993656,UP,409
STXBP4,0.005867025663309616,0.0003401746260733967,UP,410
TTC5,0.005826891923696055,4.362346197644658e-05,UP,411
